date,wind_onshore_tran_actual,wind_onshore_tran_fitted,wind_onshore_tran_lower,wind_onshore_tran_upper
2026-02-28 00:00:00+00:00,,360.3696,293.01740833612155,427.7218062257564
2026-02-28 01:00:00+00:00,,266.7878,199.43560415096331,334.1400020405982
2026-02-28 02:00:00+00:00,,161.49442,94.14222476147205,228.8466226511069
2026-02-28 03:00:00+00:00,,150.11703,82.764839469099,217.4692373587339
2026-02-28 04:00:00+00:00,,143.83672,76.4845144487166,211.18891233835146
2026-02-28 05:00:00+00:00,,173.99617,106.6439700310398,241.34836792067466
2026-02-28 06:00:00+00:00,,128.77876,61.42657014823965,196.1309680378745
2026-02-28 07:00:00+00:00,,126.081955,58.7297569831257,193.4341548727606
2026-02-28 08:00:00+00:00,,116.02124,48.66903904664804,183.37343693628287
2026-02-28 09:00:00+00:00,,167.38498,100.03278697294385,234.73718486257872
2026-02-28 10:00:00+00:00,,230.33672,162.98452229881798,297.68892018845287
2026-02-28 11:00:00+00:00,,319.87018,252.51796631851983,387.22236420815466
2026-02-28 12:00:00+00:00,,405.0429,337.69070225207525,472.3951001417101
2026-02-28 13:00:00+00:00,,562.8961,495.54390594444254,630.2483038340774
2026-02-28 14:00:00+00:00,,619.1425,551.7903254521821,686.4947233418169
2026-02-28 15:00:00+00:00,,674.18134,606.8291226950903,741.5335205847251
2026-02-28 16:00:00+00:00,,656.51196,589.1597760840882,723.864173973723
2026-02-28 17:00:00+00:00,,625.57666,558.2244538296446,692.9288517192795
2026-02-28 18:00:00+00:00,,545.39343,478.04123281929435,612.7456307089292
2026-02-28 19:00:00+00:00,,491.86823,424.5160052660483,559.2204031556832
2026-02-28 20:00:00+00:00,,464.6751,397.3229122731217,532.0273101627565
2026-02-28 21:00:00+00:00,,455.09863,387.74644090910533,522.4508387987402
2026-02-28 22:00:00+00:00,,451.07404,383.7218346404124,518.4262325300473
2026-02-28 23:00:00+00:00,,385.89404,318.5418386103109,453.2462364999458
2026-03-01 00:00:00+00:00,,290.19086,222.83866226768453,357.5430601573194
2026-03-01 01:00:00+00:00,,208.82716,141.4749632640983,276.17936115373317
2026-03-01 02:00:00+00:00,,164.90092,97.5487244819875,232.2531223716224
2026-03-01 03:00:00+00:00,,150.45268,83.10048391833993,217.8048818079748
2026-03-01 04:00:00+00:00,,137.60922,70.25703141159653,204.96142930123142
2026-03-01 05:00:00+00:00,,152.31564,84.96344037656166,219.66783826619653
2026-03-01 06:00:00+00:00,,153.59657,86.24436919305242,220.9487670826873
2026-03-01 07:00:00+00:00,,186.06918,118.71699110186395,253.42138899149882
2026-03-01 08:00:00+00:00,,153.25623,85.90402342404462,220.60842131367951
2026-03-01 09:00:00+00:00,,131.83362,64.48142816854266,199.18582605817753
2026-03-01 10:00:00+00:00,,125.18605,57.833847109898386,192.53824499953328
2026-03-01 11:00:00+00:00,,113.00186,45.64966429046808,180.35406218010294
2026-03-01 12:00:00+00:00,,128.85667,61.50447165496547,196.20886954460033
2026-03-01 13:00:00+00:00,,138.60307,71.2508819011444,205.95527979077926
2026-03-01 14:00:00+00:00,,166.36658,99.01438751049554,233.7187854001304
2026-03-01 15:00:00+00:00,,226.7279,159.37570628127466,294.0801041709095
2026-03-01 16:00:00+00:00,,303.2563,235.9040979045983,370.60849579423314
2026-03-01 17:00:00+00:00,,381.96902,314.61681097432785,449.32120886396274
2026-03-01 18:00:00+00:00,,388.1258,320.7736066905408,455.4780045801757
2026-03-01 19:00:00+00:00,,397.69543,330.3432308269555,465.04762871659034
2026-03-01 20:00:00+00:00,,428.84344,361.49124525497126,496.19564314460615
2026-03-01 21:00:00+00:00,,447.5127,380.1604998252208,514.8648977148557
2026-03-01 22:00:00+00:00,,472.5517,405.19948426494943,539.9038821545844
2026-03-01 23:00:00+00:00,,468.08075,400.7285610760323,535.4329589656671
2026-03-02 00:00:00+00:00,,458.40363,391.0514367958299,525.7558346854647
2026-03-02 01:00:00+00:00,,466.21698,398.8647749731458,533.5691728627806
2026-03-02 02:00:00+00:00,,494.85303,427.50083276747057,562.2052306571054
2026-03-02 03:00:00+00:00,,487.6463,420.2940818412562,554.9984797308911
2026-03-02 04:00:00+00:00,,488.9849,421.63269223488703,556.3370901245219
2026-03-02 05:00:00+00:00,,519.6946,452.34238304992925,587.0467809395641
2026-03-02 06:00:00+00:00,,512.5573,445.2051201826226,579.9095180722575
2026-03-02 07:00:00+00:00,,481.03235,413.6801545738845,548.3845524635194
2026-03-02 08:00:00+00:00,,443.32593,375.9737405704499,510.67813846008477
2026-03-02 09:00:00+00:00,,419.0262,351.674012072892,486.3784099625269
2026-03-02 10:00:00+00:00,,370.7759,303.4236972075244,438.1280950971593
2026-03-02 11:00:00+00:00,,301.13873,233.7865309442944,368.4909288339293
2026-03-02 12:00:00+00:00,,231.3667,164.01449424069256,298.7188921303274
2026-03-02 13:00:00+00:00,,190.35347,123.00126551415295,257.7056634037878
2026-03-02 14:00:00+00:00,,172.87259,105.52039715262956,240.22479504226442
2026-03-02 15:00:00+00:00,,178.60445,111.2522525943231,245.95665048395796
2026-03-02 16:00:00+00:00,,213.91566,146.5634611776899,281.26785906732476
2026-03-02 17:00:00+00:00,,261.11478,193.76256307047137,328.46696096010623
2026-03-02 18:00:00+00:00,,360.80453,293.45233226735184,428.15673015698667
2026-03-02 19:00:00+00:00,,435.76743,368.4152203063823,503.1196181960172
2026-03-02 20:00:00+00:00,,454.10834,386.7561217276177,521.4605196172525
2026-03-02 21:00:00+00:00,,507.0915,439.7392722206814,574.4436701103162
